10.17.11.8 	lv2-adc-01 
10.17.11.9 	lv2-adc-02 
10.17.11.11 	db01a 
10.17.11.12 	db02a 
10.17.11.13 	db03a 
10.17.11.14 	db04a 
10.17.11.15 	db05a 
10.17.11.16 	db06a 
10.17.11.17 	db07a 
10.17.11.18 	db08a 
10.17.11.21 	db01b 
10.17.11.22 	db02b 
10.17.11.23 	db03b 
10.17.11.24 	db04b 
10.17.11.25 	db05b 
10.17.11.26 	db06b 
10.17.11.27 	db07b 
10.17.11.28 	db08b 
10.17.11.31 	dcedb01a 
10.17.11.32 	dcedb02a 
10.17.11.33 	dcedb01b 
10.17.11.34 	dcedb02b 
10.17.11.35 	bidb01.lv2.donkey.net 
10.17.11.36 	bidb02.lv2.donkey.net 
10.17.11.37 	bidb03.lv2.donkey.net 
10.17.11.38 	bidb04.lv2.donkey.net donkey
